Frequency (GHz)	DB(|S(2,1)|) : Filter_FF
7.435	-23.6074
7.44875	-23.6681
7.4625	-23.6287
7.47625	-23.6498
7.49	-23.5569
7.50375	-23.5605
7.5175	-23.6143
7.53125	-23.5575
7.545	-23.56
7.55875	-23.5137
7.5725	-23.5616
7.58625	-23.5996
7.6	-23.5203
7.61375	-23.5191
7.6275	-23.5902
7.64125	-23.5039
7.655	-23.5512
7.66875	-23.592
7.6825	-23.5568
7.69625	-23.6403
7.71	-23.6307
7.72375	-23.647
7.7375	-23.714
7.75125	-23.7445
7.765	-23.7304
7.77875	-23.7055
7.7925	-23.8079
7.80625	-23.804
7.82	-23.8558
7.83375	-23.8828
7.8475	-23.9479
7.86125	-23.9896
7.875	-24.1039
7.88875	-24.0724
7.9025	-24.1618
7.91625	-24.1466
7.93	-24.261
7.94375	-24.2922
7.9575	-24.3518
7.97125	-24.5053
7.985	-24.5475
7.99875	-24.5879
8.0125	-24.6542
8.02625	-24.7201
8.04	-24.6934
8.05375	-24.8368
8.0675	-24.9419
8.08125	-25.0266
8.095	-25.1604
8.10875	-25.1525
8.1225	-25.3376
8.13625	-25.4651
8.15	-25.482
8.16375	-25.548
8.1775	-25.5769
8.19125	-25.8363
8.205	-25.8445
8.21875	-25.9425
8.2325	-26.1382
8.24625	-26.0811
8.26	-26.16
8.27375	-26.4338
8.2875	-26.5049
8.30125	-26.6052
8.315	-26.7053
8.32875	-26.8797
8.3425	-27.0075
8.35625	-27.0603
8.37	-27.1649
8.38375	-27.2721
8.3975	-27.4994
8.41125	-27.3747
8.425	-27.7942
8.43875	-27.8273
8.4525	-27.8939
8.46625	-28.1477
8.48	-28.177
8.49375	-28.3108
8.5075	-28.4407
8.52125	-28.582
8.535	-28.8587
8.54875	-28.9507
8.5625	-29.1038
8.57625	-29.128
8.59	-29.3364
8.60375	-29.5359
8.6175	-29.7576
8.63125	-29.8818
8.645	-30.0303
8.65875	-30.1353
8.6725	-30.442
8.68625	-30.643
8.7	-30.8857
8.71375	-30.9289
8.7275	-31.0022
8.74125	-31.2841
8.755	-31.296
8.76875	-31.6251
8.7825	-31.9022
8.79625	-32.1221
8.81	-32.1038
8.82375	-32.5798
8.8375	-32.7899
8.85125	-32.9465
8.865	-32.9931
8.87875	-33.2868
8.8925	-33.3338
8.90625	-33.4818
8.92	-33.8563
8.93375	-33.9586
8.9475	-34.0441
8.96125	-34.1986
8.975	-34.4524
8.98875	-34.3489
9.0025	-34.698
9.01625	-34.452
9.03	-34.4999
9.04375	-34.4582
9.0575	-34.3123
9.07125	-34.1429
9.085	-34.2134
9.09875	-33.9754
9.1125	-33.6837
9.12625	-33.6694
9.14	-33.4007
9.15375	-33.1546
9.1675	-32.8969
9.18125	-32.5115
9.195	-32.5678
9.20875	-32.2841
9.2225	-31.9913
9.23625	-31.977
9.25	-31.7041
9.26375	-31.744
9.2775	-31.7445
9.29125	-31.6293
9.305	-31.7926
9.31875	-31.521
9.3325	-31.617
9.34625	-31.7932
9.36	-31.7945
9.37375	-31.9202
9.3875	-32.0691
9.40125	-32.1529
9.415	-32.0833
9.42875	-32.4274
9.4425	-32.6754
9.45625	-32.9538
9.47	-32.9717
9.48375	-33.2751
9.4975	-33.3986
9.51125	-33.5245
9.525	-33.9974
9.53875	-33.9531
9.5525	-34.0901
9.56625	-34.4136
9.58	-34.7389
9.59375	-34.6781
9.6075	-35.1058
9.62125	-35.2111
9.635	-35.4673
9.64875	-35.8289
9.6625	-35.9436
9.67625	-36.3774
9.69	-36.1688
9.70375	-36.6084
9.7175	-36.7322
9.73125	-37.1011
9.745	-37.3984
9.75875	-37.719
9.7725	-37.6664
9.78625	-38.3036
9.8	-38.763
9.81375	-38.1818
9.8275	-38.9081
9.84125	-39.0533
9.855	-39.7521
9.86875	-40.1458
9.8825	-40.2271
9.89625	-40.6133
9.91	-40.588
9.92375	-40.9562
9.9375	-41.504
9.95125	-41.4897
9.965	-42.517
9.97875	-42.3044
9.9925	-43.5508
10.0063	-42.7375
10.02	-43.5207
10.0338	-43.7004
10.0475	-44.7841
10.0612	-44.8061
10.075	-45.4131
10.0887	-45.2989
10.1025	-45.9446
10.1163	-46.6863
10.13	-46.8391
10.1438	-47.8275
10.1575	-47.4614
10.1713	-48.612
10.185	-48.0498
10.1988	-49.064
10.2125	-49.6271
10.2263	-50.2433
10.24	-51.2479
10.2538	-51.527
10.2675	-50.8093
10.2813	-50.0482
10.295	-50.5032
10.3088	-49.219
10.3225	-49.2275
10.3363	-49.7239
10.35	-50.2591
10.3638	-48.1172
10.3775	-47.8761
10.3912	-48.0727
10.405	-46.9435
10.4187	-47.0906
10.4325	-45.997
10.4462	-45.7008
10.46	-46.4698
10.4738	-44.4541
10.4875	-44.5739
10.5013	-45.1186
10.515	-44.3351
10.5288	-42.6562
10.5425	-42.5177
10.5563	-43.5004
10.57	-42.1108
10.5838	-41.7801
10.5975	-41.395
10.6113	-41.4587
10.625	-41.0424
10.6388	-40.9244
10.6525	-40.6221
10.6663	-39.9892
10.68	-39.9075
10.6938	-40.1792
10.7075	-39.4826
10.7213	-39.6455
10.735	-39.0511
10.7487	-39.2181
10.7625	-38.9952
10.7762	-38.4291
10.79	-38.0963
10.8038	-38.0389
10.8175	-38.1487
10.8313	-37.7115
10.845	-38.104
10.8588	-37.4979
10.8725	-37.2451
10.8863	-36.9441
